"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/2019","68.930","68.955","69.070","68.880","","0.10%"
"07/23/2019","69.033","68.944","69.059","68.903","","0.15%"
"07/24/2019","68.980","69.020","69.109","68.921","","-0.08%"
"07/25/2019","69.041","68.992","69.078","68.885","","0.09%"
"07/26/2019","68.880","69.151","69.151","68.816","","-0.23%"
"07/29/2019","68.755","68.900","68.965","68.705","","-0.18%"
"07/30/2019","68.862","68.766","68.903","68.663","","0.16%"
"07/31/2019","68.875","68.853","68.960","68.761","","0.02%"
"08/01/2019","69.017","69.267","69.267","69.002","","0.21%"
"08/02/2019","69.700","69.230","69.700","69.210","","0.99%"
"08/05/2019","70.821","70.117","70.839","70.117","","1.61%"
"08/06/2019","71.040","70.810","71.040","70.470","","0.31%"
"08/07/2019","71.145","70.965","71.195","70.604","","0.15%"
"08/08/2019","70.420","71.170","71.170","70.420","","-1.02%"
"08/09/2019","70.924","70.443","70.924","70.443","","0.72%"
"08/12/2019","71.283","71.014","71.367","70.993","","0.51%"
"08/13/2019","71.418","71.132","71.493","71.032","","0.19%"
"08/14/2019","71.275","70.995","71.365","70.845","","-0.20%"
"08/15/2019","71.810","71.507","71.829","71.309","","0.75%"
"08/16/2019","71.155","71.365","71.492","71.045","","-0.91%"
"08/19/2019","71.451","71.213","71.500","71.063","","0.42%"
"08/20/2019","71.549","71.523","71.827","71.523","","0.14%"
"08/21/2019","71.440","71.562","71.623","71.353","","-0.15%"
"08/22/2019","71.930","71.600","72.004","71.600","","0.69%"
"08/23/2019","71.513","71.960","72.061","71.513","","-0.58%"
"08/26/2019","72.025","71.920","72.260","71.863","","0.72%"
"08/27/2019","71.543","72.030","72.030","71.383","","-0.67%"
"08/28/2019","71.829","71.564","71.904","71.492","","0.40%"
"08/29/2019","71.690","71.913","72.100","71.624","","-0.19%"
"08/30/2019","71.453","71.772","71.817","71.357","","-0.33%"
"09/02/2019","71.969","71.467","72.003","71.467","","0.72%"
"09/03/2019","72.170","71.960","72.413","71.960","","0.28%"
"09/04/2019","71.989","72.200","72.315","71.944","","-0.25%"
"09/05/2019","71.928","71.986","72.011","71.797","","-0.08%"
"09/06/2019","71.645","71.887","71.928","71.605","","-0.39%"
"09/09/2019","71.778","71.728","71.788","71.504","","0.19%"
"09/10/2019","71.875","71.755","72.002","71.739","","0.14%"
"09/11/2019","71.577","71.877","71.898","71.514","","-0.41%"
"09/12/2019","70.967","71.588","71.588","70.917","","-0.85%"
"09/13/2019","70.985","70.972","71.160","70.847","","0.03%"
"09/16/2019","71.580","71.690","71.690","71.410","","0.84%"
